Deutsch,English,wk,freq
gracias,gracias,0,580
justine,Justine,0,580
blonden,blondes,0,579
kobra,cobra,0,579
beantragen,apply for,0,579
muscheln,mussels,0,579
spot,spot,0,579
bewerbung,application,0,579
biologische,biological,0,579
raffiniert,refined,0,579
protest,protest,0,579
texte,texts,0,579
kapiere,get it,0,579
linus,linus,0,579
panne,glitch,0,579
willens,willing,0,579
argentinien,Argentina,0,579
bissen,bite,0,579
abbiegen,turn,0,579
harbor,harbor,0,579
fernen,distant,0,578
versäumt,missed,0,578
frühe,early,0,578
rohre,tube,0,578
packte,grabbed,0,578
zeitmaschine,time machine,0,578
weiterzumachen,to carry on,0,578
beiß,bite,0,578
kleinsten,smallest,0,578
verzögerung,delay,0,578
sprit,fuel,0,578
initialen,initials,0,577
ansprache,speech,0,577
recherchiert,researched,0,577
malley,malley,0,577
erfuhren,learned,0,577
ja.,Yes.,0,577
zahlte,paid,0,577
eingebaut,installed,0,577
offener,more open,0,577
geheimnisvoll,mysterious,0,577
geschöpf,creature,0,577
unangebracht,inappropriate,0,577
schlüsse,conclusions,0,577
eingefangen,captured,0,577
halts,wait,0,577
bewährungshelfer,probation officer,0,577
folgten,followed,0,576
erhebe,raise,0,576
brenner,burner,0,576
surfen,surfing,0,576
hintergehen,deceive,0,576
hörner,horns,0,576
fürchtest,fear,0,576
reaktor,reactor,0,576
run,run,0,576
zweieinhalb,two and a half,0,576
gebrochenen,broken,0,576
ansage,announcement,0,576
kompromiss,compromise,0,576
abzeichen,badge,0,576
mehrfach,multiple times,0,576
dolores,dolores,0,575
cox,cox,0,575
zielt,aims,0,575
vorlesung,lecture,0,575
gesamtes,entire,0,575
berechnet,calculated,0,575
römische,Roman,0,575
auffällig,noticeable,0,575
lenkrad,steering wheel,0,575
engagement,engagement,0,575
amerikanerin,American,0,575
harlem,Harlem,0,575
jose,jose,0,575
chakotay,chakotay,0,575
fernzuhalten,keep away,0,575
gründer,founder,0,575
technischen,technical,0,575
hassan,Hassan,0,575
eingeweide,guts,0,575
verschickt,sent,0,575
studierte,studied,0,575
industrie,industry,0,575
frühjahr,spring,0,575
heiligabend,Christmas Eve,0,575
stellvertreter,deputy,0,575
unvorstellbar,unimaginable,0,574
sichert,secures,0,574
scheißt,shits,0,574
space,space,0,574
zweifle,doubt,0,574
verbrannte,burned,0,574
hähnchen,chicken,0,574
ren,ren,0,574
exfrau,ex-wife,0,574
kulturen,cultures,0,574
ehrgeizig,ambitious,0,574
anmelden,register,0,574
bewegst,moves,0,574
verschüttet,spilled,0,574
whirlpool,whirlpool,0,573
atmung,breathing,0,573
kaltblütig,cold-blooded,0,573
handwerker,handyman,0,573
kurse,courses,0,573
griffen,grabbed,0,573
unangenehme,unpleasant,0,573
ausstellen,exhibit,0,573
andernfalls,otherwise,0,573
sonderlich,special,0,573
angefühlt,felt,0,573
prag,Prague,0,572
frösche,frogs,0,572
herausfand,found out,0,572
vega,vega,0,572
vance,vance,0,572
zärtlich,tender,0,572
doe,doe,0,572
jüdischen,Jewish,0,572
steuerung,steering,0,572
zeitschriften,magazines,0,572
verbockt,screwed up,0,571
gewaltige,huge,0,571
genesung,recovery,0,571
auftraggeber,client,0,571
wanna,wanna,0,571
abgehört,listened to,0,571
oregon,Oregon,0,571
gecheckt,checked,0,571
zusammenbruch,collapse,0,571
beachtet,observed,0,571
united,united,0,571
cowboys,cowboys,0,571
pumpe,pump,0,571
eagle,eagle,0,570
logbuch,logbook,0,570
irgendwem,anyone,0,570
ausgenommen,excepted,0,570
churchill,Churchill,0,570
rankommen,get there,0,570
relevant,relevant,0,570
t-shirts,t-shirts,0,570
besuchst,visit,0,570
tiefsten,deepest,0,570
einbildung,imagination,0,570
instabil,unstable,0,570
fühlten,felt,0,570
hr,hr,0,570
transportiert,transported,0,570
mönche,monks,0,570
lina,lina,0,570
riggs,riggs,0,570
stacy,Stacy,0,570
beschuss,bombardment,0,570
fledermaus,bat,0,570
segnen,bless,0,569
stattgefunden,took place,0,569
nell,nell,0,569
lebeau,lebeau,0,569
krallen,claws,0,569
moss,moss,0,569
kgb,KGB,0,569
romantischen,romantic,0,569
blutig,bloody,0,569
alliierten,allies,0,569
mara,Mara,0,569
oberflächlich,superficial,0,569
sanders,sanders,0,569
hicks,hiccup,0,568
ostern,Easter,0,568
orangensaft,orange juice,0,568
unbekannter,unknown,0,568
thornton,thornton,0,568
ausgerutscht,slipped,0,568
aurora,aurora,0,568
freundlicher,friendlier,0,568
exil,exile,0,568
clary,clary,0,568
blog,blog,0,568
schmelzen,melt,0,568
mysteriösen,mysterious,0,568
überwunden,overcome,0,568
erdbeeren,strawberries,0,568
ära,era,0,568
eingefroren,frozen,0,568
großzügigkeit,generosity,0,568
einreichen,submit,0,568
anderswo,elsewhere,0,567
seinetwegen,because of him,0,567
ferguson,ferguson,0,567
zwilling,twin,0,567
deppen,idiots,0,567
verlangte,demanded,0,567
genf,Geneva,0,567
trophäe,trophy,0,567
lucia,lucia,0,567
wisch,wipe,0,567
reduziert,reduced,0,566
ernährt,fed,0,566
irgendjemandem,anyone,0,566
kaiserin,empress,0,566
koste,cost,0,566
reiste,traveled,0,566
lucrezia,lucrezia,0,566
therapeutin,therapist,0,566
pfanne,pan,0,566
komma,comma,0,566
stillhalten,keep still,0,565
freundlichkeit,friendliness,0,565
stockholm,Stockholm,0,565
informiere,inform,0,565
konsul,consul,0,565
dante,Dante,0,565
gänge,gears,0,565
irgendwen,anyone,0,565
unerhört,unheard of,0,565
deutlicher,clearer,0,565
bomber,bomber,0,565
ausgeliehen,borrowed,0,565
drehten,turned,0,565
prostitution,prostitution,0,565
inoffiziell,unofficially,0,565
motherfucker,motherfuckers,0,565
glücklichste,happiest,0,565
erschreckend,frightening,0,565
isolieren,isolate,0,565
flugplatz,airport,0,564
friedliche,peaceful,0,564
lachs,salmon,0,564
furchtbarer,more terrible,0,564
erkältet,caught a cold,0,564
boyle,boyle,0,564
nadine,Nadine,0,564
slim,slim,0,564
angestellter,employee,0,564
anomalie,anomaly,0,564
bestimme,determine,0,564
off,off,0,564
provoziert,provoked,0,564
siehe,see,0,563
aufbewahren,store,0,563
diamant,diamond,0,563
herauskommen,come out,0,563
poster,posters,0,563
gräber,graves,0,563
savage,savage,0,563
heh,heh,0,563
jedesmal,every time,0,563
bajor,bajor,0,563
angepasst,adjusted,0,563
strick,knit,0,563
übertreib,exaggerate,0,563
schweinchen,piggy,0,563
herbei,here,0,563
ahnte,suspected,0,562
dirk,dirk,0,562
bewältigen,get over,0,562
fläschchen,bottle,0,562
sams,sams,0,562
kotze,vomit,0,562
übt,practices,0,562
lupe,magnifying glass,0,562
stanford,Stanford,0,562
davonlaufen,run away,0,562
klima,climate,0,562
zerstöre,destroy,0,562
jerome,Jerome,0,562
schöpfung,creation,0,562
befriedigen,satisfy,0,562
schossen,shot,0,561
soul,soul,0,561
verschlafen,overslept,0,561
indiana,Indiana,0,561
putzt,cleans,0,561
verdoppelt,doubled,0,561
entschuldigungen,apologies,0,561
inakzeptabel,unacceptable,0,561
prioritäten,priorities,0,561
bryan,Bryan,0,561
dominion,dominion,0,561
jem,jem,0,561
karate,karate,0,561
unterschreib,sign,0,561
clinton,clinton,0,561
louisiana,Louisiana,0,560
fat,fat,0,560
f.,f.,0,560
kampfes,fight,0,560
grades,degrees,0,560
komplizierte,complicated,0,560
j.d.,j.d.,0,560
waise,orphan,0,560
alain,alain,0,560
würdigen,appreciate,0,560
vorrat,stock,0,560
trocknen,dry,0,559
entfernte,removed,0,559
katja,Katja,0,559
bücherei,library,0,559
fallschirm,parachute,0,559
laurent,laurent,0,559
fusion,fusion,0,559
frachter,freighter,0,558
komplize,accomplice,0,558
haie,sharks,0,558
witzbold,joker,0,558
drecksarbeit,dirty work,0,558
schiedsrichter,referee,0,558
spezialisiert,specialized,0,558
innern,inside,0,558
verschlüsselt,encrypted,0,558
chirurgie,surgery,0,558
chff409b,chff409b,0,558
hüpfen,hop,0,558
festzustellen,to determine,0,558
harlan,Harlan,0,558
gerichts,court,0,558
matrosen,sailors,0,557
schweinerei,mess,0,557
schnarcht,snores,0,557
anzuhören,to listen,0,557
überprüf,check,0,557
überprüfung,examination,0,556
florenz,Florence,0,556
blanche,blanche,0,556
maddie,maddie,0,556
getauscht,exchanged,0,556
verübt,committed,0,556
blutige,bloody,0,556
galaxien,galaxies,0,556
antiquitäten,antiques,0,556
wandert,wanders,0,556
hormone,hormones,0,556
homo,homo,0,556
slade,slade,0,556
chapman,chapman,0,555
nachschub,replenishment,0,555
america,america,0,555
zerbrechlich,fragile,0,555
palm,palm,0,555
basta,that’s it,0,555
riese,giant,0,555
brenne,burn,0,555
sticht,stings,0,555
hang,hang,0,555
leser,reader,0,555
zurückbleiben,stay behind,0,555
woods,woods,0,555
prototyp,prototype,0,555
wider,reflected,0,555
liebenswürdig,amiable,0,555
gewohnheiten,habits,0,555
säure,acid,0,554
chaotisch,chaotic,0,554
geschissen,shit,0,554
moran,moran,0,554
call,call,0,554
besorgnis,concern,0,554
grundschule,elementary school,0,554
verheiratete,married,0,553
aufruf,call,0,553
sauce,sauce,0,553
verwandter,relative,0,553
schwelle,threshold,0,553
fröhliches,happy,0,553
mmh,mmh,0,553
kühlen,cool,0,553
herrliche,magnificent,0,553
lächerliche,ridiculous,0,553
lift,lift,0,553
angriffen,attacked,0,553
zurückfahren,drive back,0,553
dutch,Dutch,0,553
verschluss,closure,0,553
herzchen,sweetheart,0,552
eineinhalb,one and a half,0,552
verbrachten,spent,0,552
igor,igor,0,552
besetzen,occupy,0,552
sexueller,sexual,0,552
spaßig,funny,0,552
kreuzen,cross,0,552
yep,yep,0,552
intuition,intuition,0,552
terrorismus,terrorism,0,552
traditionen,traditions,0,552
game,game,0,552
lad,lad,0,552
vorgetäuscht,faked,0,551
satellit,satellite,0,551
lehnt,leans,0,551
samson,samson,0,551
verhungere,starve,0,551
unterrichte,teach,0,551
burton,Burton,0,551
link,link,0,551
schiefgehen,go wrong,0,551
pyjama,pajamas,0,551
verurteile,condemn,0,551
wachtmeister,sergeant,0,551
dunkles,dark,0,551
abgeschlachtet,slaughtered,0,551
tätowierung,tattoo,0,551
ansprüche,claims,0,550
erleiden,suffer,0,550
ruinen,ruins,0,550
reife,mature,0,550
kommenden,coming,0,550
hoffman,hoffman,0,550
verstummt,falls silent,0,550
panama,Panama,0,550
staubsauger,vacuum cleaner,0,550
projekte,projects,0,550
kopieren,copy,0,550
unters,unders,0,549
begeht,commits,0,549
vorurteile,prejudices,0,549
militärischen,military,0,549
prüfe,check,0,549
verpissen,piss off,0,549
edler,nobler,0,549
tablett,tray,0,549
geblasen,blown,0,549
hergeholt,brought here,0,549
beratung,advice,0,549
rabatt,discount,0,549
renne,run,0,549
behaltet,kept,0,549
tapferer,braver,0,548
offenbarung,revelation,0,548
wegkommen,get away,0,548
verabreden,make a date,0,548
motive,motives,0,548
unannehmlichkeiten,unpleasantries,0,548
village,village,0,548
späten,late,0,548
verfickten,fucking,0,548
argumente,arguments,0,548
behauptete,claimed,0,548
wertvolles,valuable,0,548
niki,Niki,0,548
fehlern,errors,0,548
abendbrot,dinner,0,547
putz,clean,0,547
übermitteln,transmit,0,547
spielplatz,playground,0,547
gutachten,appraise,0,547
auszusehen,to look,0,547
wiehert,neighs,0,547
basil,basil,0,547
spezielles,special,0,547
flüchtigen,fleeting,0,547
dringt,penetrates,0,547
verkraften,cope,0,547
unglaublichen,incredible,0,547
endlos,endless,0,547
kritiker,critic,0,547
schwuler,gayer,0,547
hob,lifted,0,547
pfleger,carer,0,547
klarmachen,make clear,0,547
dermaßen,so,0,547
benson,benson,0,546
hindert,hinders,0,546
gespendet,donated,0,546
lire,lire,0,546
erstaunliche,amazing,0,546
gummi,rubber,0,546
patterson,patterson,0,546
zicke,bitch,0,546
begreift,understands,0,546
marionette,puppet,0,546
backbord,port,0,546
benehmt,behaved,0,545
buenos,buenos,0,545
erwähnten,mentioned,0,545
gestohlene,stolen ones,0,545
medaillon,medallion,0,545
streifenwagen,patrol car,0,545
pascal,pascal,0,545
romanze,romance,0,545
shelley,shelley,0,545
fluchen,curse,0,545
javier,javier,0,545
untergebracht,accommodated,0,545
kahn,kahn,0,545
scht,shh,0,545
ehemänner,husbands,0,545
erfinder,inventor,0,544
kraftfeld,force field,0,544
unbesiegbar,invincible,0,544
niete,rivet,0,544
horst,horst,0,544
beinah,almost,0,544
schwing,swing,0,544
schneit,snowing,0,544
versenkt,sunk,0,544
wärest,would be,0,544
erika,erika,0,544
brücken,bridges,0,544
toi,toi,0,544
stromausfall,power failure,0,544
zielscheibe,target,0,544
überschreiten,exceed,0,543
bird,bird,0,543
eingejagt,chased away,0,543
lt.,according to,0,543
que,que,0,543
versenken,sink,0,543
fördern,support financially,0,543
kundin,customer,0,543
enzo,enzo,0,543
portier,porter,0,543
riech,smell,0,543
beobachter,observer,0,543
beerdigen,bury,0,543
su,see below,0,543
entscheidende,crucial,0,543
zeugs,stuff,0,543
lorraine,lorraine,0,543
auszusprechen,to pronounce,0,543
gerard,gerard,0,542
dani,Dani,0,542
zoom,zoom,0,542
brillante,brilliant,0,542
our,our,0,542
einfahrt,entrance,0,542
emotionalen,emotional,0,542
kommentare,comments,0,542
brachen,broke,0,542
parfum,perfume,0,542
roms,roms,0,542
durchschnitt,average,0,542
glücksspiel,gambling,0,542
geburtstagsparty,birthday party,0,541
cadillac,Cadillac,0,541
herausgestellt,highlighted,0,541
beeinträchtigt,impaired,0,541
feel,feel,0,541
spiels,game,0,541
hinnehmen,accept,0,541
eingetragen,registered,0,541
sprünge,jumps,0,541
joker,joker,0,541
torpedos,torpedoes,0,541
belegen,prove,0,541
xavier,xavier,0,541
belgien,Belgium,0,541
rouge,rouge,0,541
darius,darius,0,541
hypnose,hypnosis,0,541
konfrontiert,faced,0,540
gezielt,targeted,0,540
schauspielern,acting,0,540
murmeln,murmur,0,540
ultimative,ultimate,0,540
weggeschickt,sent away,0,540
regierungen,governments,0,540
erdnüsse,peanuts,0,540
missy,missy,0,540
spritztour,joyride,0,540
kopfgeldjäger,bounty hunter,0,540
einladungen,invitations,0,539
kleidern,dress,0,539
mm-hm,mm-hm,0,539
chicken,chicken,0,539
hawk,hawk,0,539
quarterback,quarterback,0,539
glatze,bald,0,539
systems,systems,0,539
vergeblich,vain,0,539
mäuschen,mouse,0,539
eingeliefert,delivered,0,539
entschlüsseln,decipher,0,539
kerlchen,guys,0,539
unentschieden,draw,0,538
ausverkauft,sold out,0,538
viermal,four times,0,538
fargo,fargo,0,538
zugenommen,increased,0,538
völker,peoples,0,538
migräne,migraine,0,538
eddy,eddy,0,538
double,double,0,538
rothaarige,redhead,0,538
memphis,Memphis,0,538
aufgetragen,applied,0,538
runtergehen,go down,0,538
seen,lakes,0,538
amnesie,amnesia,0,538
einzustellen,to set,0,538
bedeutest,mean,0,538
steaks,steaks,0,538
empfänger,recipient,0,538
telefonbuch,phone book,0,538
massen,masses,0,538
vorführung,demonstration,0,538
cheese,cheese,0,538
angefordert,requested,0,537
royce,Royce,0,537
heinz,heinz,0,537
hexerei,witchcraft,0,537
sündenbock,scapegoat,0,537
asien,Asia,0,537
kopiert,copied,0,537
astronaut,astronaut,0,537
eindringlinge,intruders,0,537
verhältst,behave,0,537
bosse,bosses,0,537
abzugeben,to give away,0,537
ice,ice,0,537
genetisch,genetically,0,537
anständiges,decent,0,537
lächelst,smile,0,537
davina,davina,0,537
wochenenden,weekends,0,537
augenbrauen,eyebrows,0,537
kauften,bought,0,537
unverändert,unchanged,0,537
fickst,fuck you,0,536
schleicht,sneaks,0,536
unterbewusstsein,subconscious,0,536
nat,nat,0,536
sehne,tendon,0,536
schilling,shilling,0,536
schluß,ending,0,536
kundschaft,customers,0,536
verschrieben,prescribed,0,536
entfliehen,escape,0,536
bestohlen,stolen,0,535
klick,click,0,535
heiliges,holy,0,535
verstopft,clogged,0,535
kürbis,pumpkin,0,535
kröte,toad,0,535
demütigen,humble,0,535
grausamkeit,cruelty,0,535
makler,broker,0,535
ausgerastet,freaked out,0,535
geräumt,cleared,0,535
kalb,calf,0,535
santiago,Santiago,0,534
schnur,cord,0,534
garth,garth,0,534
len,len,0,534
foundation,foundation,0,534
death,death,0,534
kaputten,broken,0,534
rüberkommen,come over,0,534
senor,senor,0,534
teilte,shared,0,534
einleiten,initiate,0,534
gelder,funds,0,534
lizzy,lizzy,0,534
kommandeur,commander,0,534
demonstrieren,demonstrate,0,534
vereinbaren,agree,0,534
tranken,soak,0,533
copyright,copyright,0,533
ursula,Ursula,0,533
mitgekriegt,caught on,0,533
perkins,perkins,0,533
kakerlaken,cockroaches,0,533
durchdacht,well thought out,0,533
westlichen,western,0,533
waschmaschine,washing machine,0,533
shorts,shorts,0,533
sehn,see,0,533
dora,Dora,0,533
vatikan,Vatican,0,533
ausgänge,exits,0,533
sausen,rush,0,533
moralisch,morally,0,533
krönung,coronation,0,533
instinkte,instincts,0,533
hü,huh,0,532
vernon,vernon,0,532
hierhergekommen,came here,0,532
büffel,buffalo,0,532
geborene,born,0,532
ausgebucht,fully booked,0,532
mitkommst,come with me,0,532
irrsinn,madness,0,532
unterhalb,below,0,532
tok,tok,0,532
vors,pres,0,532
jackett,jacket,0,532
geraubt,stolen,0,532
schwitzt,sweats,0,532
ständer,stand,0,532
lot,lot,0,532
luna,luna,0,532
rolf,rolf,0,531
hingefallen,fell down,0,531
kessel,boiler,0,531
jorge,jorge,0,531
waffeln,waffles,0,531
korrupt,corrupt,0,531
freiwilligen,volunteers,0,531
kartell,cartel,0,531
ba,ba,0,531
kentucky,Kentucky,0,531
nevada,Nevada,0,531
cap,cap,0,531
illinois,Illinois,0,531
wies,pointed,0,531
trainiere,train,0,531
bloom,bloom,0,531
kreise,circles,0,531
raquel,Raquel,0,530
eiscreme,ice cream,0,530
heimweh,homesick,0,530
four,four,0,530
entschärfen,defuse,0,530
spionin,spy,0,530
behielt,kept,0,530
einstecken,plug in,0,530
franco,franco,0,530
wiedergeboren,reborn,0,530
festgelegt,set,0,530
wähler,voter,0,530
bürde,burden,0,530
models,models,0,530
besorgte,worried,0,529
fetzen,shred,0,529
blute,blossom,0,529
leidest,suffer,0,529
blood,blood,0,529
shanghai,Shanghai,0,529
trent,trent,0,529
brüssel,Brussels,0,529
vorgeschichte,prehistory,0,529
ninja,ninja,0,529
großvaters,grandfather,0,529
sabrina,sabrina,0,529
rausschmeißen,throw out,0,529
verleger,publisher,0,529
genetische,genetic,0,529
säge,saw,0,529
ansatz,approach,0,529
erlitt,suffered,0,529
darstellt,represents,0,528
wohlauf,well,0,528
allmächtiger,more almighty,0,528
mochtest,liked,0,528
verrecken,die,0,528
verstoß,violation,0,528
weston,weston,0,528
treppenhaus,stairwell,0,528
leland,leland,0,528
notieren,note down,0,528
erwidern,reply,0,528
speicher,memory,0,528
rauskommst,come out,0,528
springfield,springfield,0,527
sunny,sunny,0,527
lokalisieren,locate,0,527
spence,spence,0,527
wangen,cheeks,0,527
aubrey,aubrey,0,527
periode,period,0,527
beschatten,shade,0,527
höchster,highest,0,527
luc,luc,0,527
gehirnwäsche,brainwashing,0,527
brothers,brothers,0,527
stalker,stalker,0,527
gleis,track,0,527
erdnussbutter,peanut butter,0,527
gallagher,gallagher,0,527
arnie,Arnie,0,527
antut,does,0,527
wohnten,lived,0,526
nachschauen,look,0,526
breite,width,0,526
dot,dot,0,526
gespeichert,saved,0,526
verkleiden,dress up,0,526
grauenhaft,horrible,0,526
beobachtete,observed,0,526
wegzulaufen,to run away,0,526
wiederfinden,find again,0,526
sinnvoll,sensible,0,526
englands,England,0,526
ostküste,east coast,0,526
historischen,historical,0,526
scheich,sheikh,0,526
reparaturen,repairs,0,525
ähnlichen,similar,0,525
aufgeschlitzt,slashed,0,525
sanchez,sanchez,0,525
stecker,plug,0,525
republikaner,republican,0,525
gottesdienst,worship,0,525
weis,white,0,525
charly,Charlie,0,525
türkei,Türkiye,0,525
vollständige,complete,0,525
gebieter,lord,0,525
amerikanern,Americans,0,525
schmutziges,dirty,0,525
intelligente,intelligent,0,525
getauft,baptized,0,525
soda,soda,0,525
einsatzbereit,ready for use,0,525
verliehen,awarded,0,524
beton,concrete,0,524
ausreichen,sufficient,0,524
untersuche,investigate,0,524
robbins,Robbins,0,524
sabotage,sabotage,0,524
konsulat,consulate,0,524
marta,Martha,0,524
nimmer,never,0,524
aufgeflogen,blown up,0,524
ballons,balloons,0,524
geburtstagsgeschenk,birthday present,0,524
micki,mickey,0,524
fleming,fleming,0,524
rotwein,red wine,0,524
wagens,dare,0,524
blutes,blood,0,524
tausendmal,a thousand times,0,524
fuller,filler,0,524
trab,trot,0,524
great,great,0,524
hetero,hetero,0,523
äußere,outer,0,523
gatten,husband,0,523
verlassenen,abandoned,0,523
sauberen,clean,0,523
berechtigt,justified,0,523
gunsten,favor,0,523
gefrühstückt,had breakfast,0,523
trockenen,dry,0,523
taschengeld,pocket money,0,523
gespenster,ghosts,0,523
robby,robby,0,523
schenkel,leg,0,523
herzanfall,heart attack,0,523
downtown,downtown,0,523
wirbelsäule,spine,0,523
curt,curt,0,522
genuss,enjoyment,0,522
flyer,flyers,0,522
reservierung,reservation,0,522
gelübde,vow,0,522
dreien,three,0,522
blutigen,bloody,0,522
carroll,carroll,0,522
notwendigkeit,need,0,522
ichs,I ... it,0,522
rover,rover,0,522
rücksichtslos,ruthless,0,522
malik,malik,0,522
korn,grain,0,522
vermutungen,guesses,0,522
dwight,dwight,0,522
fülle,fill,0,522
walzer,waltz,0,522
verstört,disturbed,0,521
zahlung,payment,0,521
fürsorge,care,0,521
inspektion,inspection,0,521
kennenlernte,got to know,0,521
sauberes,clean,0,521
amulett,amulet,0,521
neuerdings,recently,0,521
zusteht,is entitled,0,521
remington,remington,0,521
überholt,outdated,0,521
vergossen,shed,0,521
wörtlich,literally,0,521
bereust,regretted,0,521
platzieren,place,0,520
parteien,parties,0,520
kontinent,continent,0,520
schweinehund,bastard,0,520
university,university,0,520
wachs,wax,0,520
eintrag,entry,0,520
lindern,alleviate,0,520
straßenseite,street side,0,520
geniale,brilliant,0,520
untertitelung,subtitling,0,520
hinstellen,put down,0,519
angekündigt,announced,0,519
meyer,meyer,0,519
erfand,invented,0,519
treuer,more faithful,0,519
entsprechen,are equivalent to,0,519
aufladen,charge,0,519
blüht,blooms,0,519
beule,bump,0,519
katz,cat,0,519
church,church,0,519
sprachlos,speechless,0,519
scan,scan,0,519
düster,grim,0,518
manuela,Manuela,0,518
emmett,emmet,0,518
i.,i.,0,518
logische,logical,0,518
tapfere,brave,0,518
joghurt,yogurt,0,518
barrett,barrett,0,518
biologie,biology,0,518
anwälten,lawyers,0,518
geschäftliches,business,0,518
ellbogen,elbow,0,518
widersetzt,resisted,0,518
meth,meth,0,518
geklopft,knocked,0,517
wright,wright,0,517
begrüßung,greeting,0,517
steckten,stuck,0,517
dauerhaft,permanently,0,517
steuert,controls,0,517
windel,diaper,0,517
älterer,older,0,517
greife,grab,0,517
jeremiah,jeremiah,0,516
blüte,blossom,0,516
ehen,marriage,0,516
repariere,repair,0,516
irving,irving,0,516
docks,docks,0,516
warnte,warned,0,516
überarbeitet,revised,0,516
jagte,hunted,0,516
dörfer,villages,0,516
ungefährlich,harmless,0,516
webber,webber,0,516
versorgung,supply,0,516
angenehmer,more pleasant,0,516
wohler,more comfortable,0,516
trey,trey,0,515
leila,Leila,0,515
granaten,grenades,0,515
verstreut,scattered,0,515
spuckt,spits,0,515
deep,deep,0,515
bagdad,Baghdad,0,515
wale,whales,0,515
tagesanbruch,daybreak,0,515
subbed,subbed,0,515
interessierst,interested,0,515
franks,franks,0,515
berührte,touched,0,515
polizeiarbeit,police work,0,515
interessierte,interested,0,515
stottert,stutters,0,515
beworben,advertised,0,515
vorziehen,prefer,0,515
türglocke,doorbell,0,514
kompletten,complete,0,514
abgeriegelt,sealed off,0,514
fenstern,windows,0,514
weilchen,while,0,514
cary,cary,0,514
klammern,cling,0,514
ruck,jerk,0,514
drückte,pressed,0,514
beitragen,contribute,0,514
offenes,open,0,514
plündern,plunder,0,514
wikinger,vikings,0,514
abserviert,dumped,0,514
gebührt,is due,0,514
padre,father,0,514
geklingelt,rang,0,514
beschränkt,limited,0,513
betäuben,stun,0,513
nigga,nigga,0,513
frankfurt,Frankfurt,0,513
prof.,prof.,0,513
antiker,antique,0,513
mikrowelle,microwave,0,513
herkommst,you come from,0,513
ernster,more serious,0,513
umgekommen,perished,0,513
coup,coup,0,513
mülleimer,trash can,0,513
definieren,define,0,513
malibu,malibu,0,513
entwickelten,developed,0,513
buzz,buzz,0,513
getrennte,separate ones,0,513
ausüben,exercise,0,513
manöver,maneuver,0,512
verlängern,extend,0,512
schauspiel,acting,0,512
verehrt,adored,0,512
vers,verse,0,512
wag,dare,0,512
schenkst,give,0,512
getreide,grain,0,512
empire,Empire,0,512
zac,Zac,0,512
sicherste,safest,0,512
fehlenden,missing,0,512
dummerchen,stupid,0,512
bleistift,pencil,0,512
wissens,know,0,512
alejandro,Alejandro,0,512
gänsehaut,goose flesh,0,512
w.,w.,0,512
zurücknehmen,take back,0,512
magisch,magical,0,512
jungfrauen,virgins,0,511
trommel,drum,0,511
ereignissen,events,0,511
ahoi,ahoy,0,511
freundlichen,friendly,0,511
üblen,evil,0,511
gebrannt,burned,0,511
verkündet,announced,0,511
skipper,skipper,0,511
bestelle,order,0,511
logo,logo,0,511
vitamine,vitamins,0,511
lover,lover,0,511
flachgelegt,laid flat,0,511
leroy,leroy,0,511
abgesucht,searched,0,511
verblutet,bleeds to death,0,511
gerüchten,rumors,0,511
örtliche,local,0,511
verpfiffen,ratted out,0,510
rosalie,rosalie,0,510
wegzukommen,to get away,0,510
express,express,0,510
mitzukommen,to come along,0,510
berühre,touch,0,510
blutvergießen,bloodshed,0,510
weigerte,refused,0,510
puzzle,puzzle,0,510
diaz,diaz,0,510
pure,pure,0,510
erwähne,mention,0,510
faulen,rot,0,510
gesündigt,sinned,0,510
picasso,picasso,0,509
streitkräfte,armed forces,0,509
flügeln,wing,0,509
bedeutungslos,meaningless,0,509
sperre,lock,0,509
psychopathen,psychopaths,0,509
pfiff,whistle,0,509
abgeordneter,deputy,0,509
kritisieren,criticize,0,509
krankes,sick,0,509
jüdische,Jewish,0,508
zornig,angry,0,508
briefen,brief,0,508
lili,lily,0,508
heiratsantrag,marriage proposal,0,508
ole,Ole,0,508
gießen,pour,0,508
bestochen,bribed,0,508
beweismaterial,evidence,0,508
coleman,Coleman,0,508
religiös,religious,0,508
vermittelt,conveyed,0,508
arche,ark,0,508
elite,elite,0,508
fliegenden,flying,0,508
motiviert,motivated,0,508
medikamenten,medication,0,508
schlank,slim,0,508
lorenzo,lorenzo,0,507
befugnis,authority,0,507
lockhart,lockhart,0,507
johan,John,0,507
regst,regst,0,507
beau,beau,0,507
fettes,fat,0,507
verhext,bewitched,0,507
todesurteil,death sentence,0,507
kaiserliche,imperial,0,507
besorgst,worry,0,507
forschungen,research,0,507
allie,Allie,0,507
auszuziehen,to take off,0,507
rutscht,slips,0,507
entwischen,escape,0,507
ringen,wrestle,0,507
ausgetrickst,tricked,0,506
creme,cream,0,506
auszugeben,to spend,0,506
clive,clive,0,506
why,why,0,506
zurückzugeben,to return,0,506
fährte,track,0,506
barbaren,barbarians,0,506
verzaubert,enchanted,0,506
coop,coop,0,506
interessanten,interesting,0,506
rudern,rowing,0,506
kriegte,got,0,506
überquert,crossed,0,505
ergangen,issued,0,505
neigen,tend,0,505
coco,Coco,0,505
untergeht,goes down,0,505
kunstwerk,artwork,0,505
bodyguard,bodyguard,0,505
behinderung,disability,0,505
blühen,bloom,0,505
dünne,thin,0,505
kamm,comb,0,505
verwandlung,transformation,0,505
hunderten,hundreds,0,505
